Result listing  SAM 7.0.97    Mechanism: Prototyp 2 - wlasciwe wymiary

________________________________________________________________________
Nr	Time	Ux(2)	Fx(2)	Fabs(10)	T1(8)
[-]	[s]	[mm]	[N]	[N]	 [Nmm]	
  39	0,585	5,850	-69,521	60,191	-1473,991	
  40	0,600	6,000	-68,718	59,794	-1471,593	
  41	0,615	6,150	-67,926	59,400	-1469,200	
  42	0,630	6,300	-67,145	59,010	-1466,814	
  43	0,645	6,450	-66,375	58,623	-1464,434	
  44	0,660	6,600	-65,616	58,239	-1462,061	
  45	0,675	6,750	-64,867	57,859	-1459,695	
  46	0,690	6,900	-64,128	57,482	-1457,335	
  47	0,705	7,050	-63,400	57,108	-1454,983	
  48	0,720	7,200	-62,681	56,738	-1452,639	
  49	0,735	7,350	-61,973	56,371	-1450,302	
  50	0,750	7,500	-61,275	56,008	-1447,973	
  51	0,765	7,650	-60,586	55,647	-1445,651	
  52	0,780	7,800	-59,907	55,290	-1443,338	
  53	0,795	7,950	-59,237	54,936	-1441,034	
  54	0,810	8,100	-58,576	54,586	-1438,738	
  55	0,825	8,250	-57,925	54,238	-1436,450	
  56	0,840	8,400	-57,283	53,894	-1434,171	
  57	0,855	8,550	-56,649	53,553	-1431,901	
  58	0,870	8,700	-56,024	53,214	-1429,640	
  59	0,885	8,850	-55,408	52,879	-1427,388	
  60	0,900	9,000	-54,801	52,547	-1425,145	
  61	0,915	9,150	-54,202	52,218	-1422,912	
  62	0,930	9,300	-53,611	51,892	-1420,688	
  63	0,945	9,450	-53,028	51,569	-1418,473	
  64	0,960	9,600	-52,453	51,249	-1416,268	
  65	0,975	9,750	-51,887	50,932	-1414,072	
  66	0,990	9,900	-51,328	50,618	-1411,886	
  67	1,005	10,050	-50,776	50,306	-1409,710	
  68	1,020	10,200	-50,233	49,998	-1407,544	
  69	1,035	10,350	-49,696	49,692	-1405,387	
  70	1,050	10,500	-49,167	49,389	-1403,240	
  71	1,065	10,650	-48,646	49,089	-1401,103	
  72	1,080	10,800	-48,131	48,792	-1398,977	
  73	1,095	10,950	-47,623	48,497	-1396,860	
  74	1,110	11,100	-47,123	48,205	-1394,753	
  75	1,125	11,250	-46,629	47,916	-1392,656	
